Catalog;HIP;RAhms;DEdms;RAdeg;DEdeg;
H;4911;01 03 01.47;+47 22 34.3;015.75613404;+47.37619549;
H;4912;01 03 01.75;+16 08 07.0;015.75729971;+16.13527205;
H;4913;01 03 01.77;+43 20 21.7;015.75735446;+43.33934800;
H;4914;01 03 02.60;-04 50 10.9;015.76085267;-04.83635047;
H;4915;01 03 06.31;+13 02 55.7;015.77627734;+13.04881125;
H;4916;01 03 07.36;+70 19 18.9;015.78066195;+70.32190278;
H;4917;01 03 08.42;-45 53 11.2;015.78507734;-45.88643611;
H;4918;01 03 09.86;+53 08 25.6;015.79109350;+53.14043205;
H;4919;01 03 09.90;+47 51 17.2;015.79123612;+47.85477545;
H;4920;01 03 10.62;-50 41 00.9;015.79425873;-50.68358816;
H;4921;01 03 10.85;-32 44 34.1;015.79522525;-32.74280625;
H;4922;01 03 11.12;-10 27 36.8;015.79634961;-10.46021783;
H;4923;01 03 11.62;+73 21 25.7;015.79840417;+73.35712801;
H;4924;01 03 12.24;-27 06 29.4;015.80100430;-27.10817749;
H;4925;01 03 12.26;-23 10 50.4;015.80107453;-23.18067043;
H;4926;01 03 12.39;-83 15 16.2;015.80161616;-83.25451373;
H;4928;01 03 13.65;+53 54 48.1;015.80686025;+53.91335675;
H;4927;01 03 13.74;+20 05 51.8;015.80724267;+20.09773584;
H;4929;01 03 13.94;+28 36 19.8;015.80808812;+28.60549618;
H;4930;01 03 15.71;-26 10 47.8;015.81545739;-26.17995291;
H;4931;01 03 16.60;+22 47 06.1;015.81914590;+22.78503901;
H;4932;01 03 17.76;-29 31 32.8;015.82401808;-29.52577074;
H;4934;01 03 18.04;-60 05 50.1;015.82517242;-60.09725949;
H;4933;01 03 18.19;-27 52 49.7;015.82579566;-27.88046115;
H;4935;01 03 18.52;-41 01 16.0;015.82717938;-41.02110416;
H;4936;01 03 19.61;-03 48 44.3;015.83172242;-03.81229243;
H;4937;01 03 22.27;-15 26 35.9;015.84277348;-15.44330755;
H;4938;01 03 23.11;+18 51 11.6;015.84630247;+18.85322693;
H;4939;01 03 24.11;-32 04 40.3;015.85047350;-32.07785252;
H;4940;01 03 24.50;-54 09 44.1;015.85207167;-54.16225954;
H;4941;01 03 24.76;+04 57 27.6;015.85315912;+04.95767228;
H;4942;01 03 25.12;+74 11 21.6;015.85468071;+74.18933978;
H;4943;01 03 25.34;-22 17 26.2;015.85560225;-22.29060610;
H;4944;01 03 25.73;-01 29 43.1;015.85721064;-01.49529224;
H;4945;01 03 25.98;+03 15 20.2;015.85824367;+03.25560486;
H;4946;01 03 27.01;+17 09 01.5;015.86252131;+17.15041182;
H;4947;01 03 27.23;+21 48 18.6;015.86346789;+21.80517211;
H;4948;01 03 27.76;-05 48 39.3;015.86566354;-05.81091701;
H;4949;01 03 28.72;+48 22 49.3;015.86966179;+48.38035653;
H;4950;01 03 29.08;+36 50 31.2;015.87117701;+36.84200527;
H;4951;01 03 29.67;-14 30 26.5;015.87360704;-14.50735646;
H;4952;01 03 30.15;+50 18 45.2;015.87561261;+50.31255539;
H;4953;01 03 31.99;+23 04 11.1;015.88330176;+23.06975979;
H;4954;01 03 33.15;-16 34 40.6;015.88811543;-16.57793968;
H;4955;01 03 33.40;+55 01 47.3;015.88917634;+55.02981759;
H;4956;01 03 33.60;+61 12 31.5;015.89001286;+61.20876366;
H;4957;01 03 34.23;+26 18 42.9;015.89264480;+26.31190650;
H;4958;01 03 34.33;-39 07 24.2;015.89304400;-39.12339079;
H;4959;01 03 35.33;-44 14 30.8;015.89722063;-44.24189584;
H;4960;01 03 36.45;+23 46 06.6;015.90186079;+23.76848837;
H;4962;01 03 37.01;+61 04 29.4;015.90419820;+61.07482982;
H;4961;01 03 37.01;+58 54 33.3;015.90421340;+58.90925342;
H;4963;01 03 37.18;+63 41 16.0;015.90490075;+63.68778240;
H;4964;01 03 39.08;-45 47 16.4;015.91285183;-45.78788795;
H;4965;01 03 39.39;+84 36 24.9;015.91411828;+84.60692182;
H;4966;01 03 39.52;+82 06 03.2;015.91466099;+82.10089846;
H;4967;01 03 40.03;+40 51 30.7;015.91679114;+40.85852326;
H;4968;01 03 40.69;+05 14 07.6;015.91954337;+05.23545059;
H;4969;01 03 41.16;-38 05 55.5;015.92149094;-38.09875453;
H;4970;01 03 41.34;+44 03 59.0;015.92223780;+44.06639237;
H;4971;01 03 42.41;+50 25 54.6;015.92671663;+50.43183566;
H;4972;01 03 42.86;-51 58 30.0;015.92857937;-51.97499210;
H;4973;01 03 43.57;-78 20 42.4;015.93153015;-78.34511680;
H;4974;01 03 43.81;-30 23 55.0;015.93255194;-30.39861517;
H;4975;01 03 43.95;+31 10 44.1;015.93313185;+31.17891249;
H;4976;01 03 46.12;+52 11 55.3;015.94215307;+52.19870330;
H;4977;01 03 46.63;-11 40 16.9;015.94427681;-11.67135692;
H;4978;01 03 47.14;+06 45 53.5;015.94642121;+06.76486693;
H;4980;01 03 48.21;-17 12 02.1;015.95089336;-17.20057400;
H;4979;01 03 48.96;+01 22 01.0;015.95398626;+01.36694516;
H;4981;01 03 50.38;-31 47 11.1;015.95990298;-31.78642995;
H;4982;01 03 51.04;-09 07 45.2;015.96264641;-09.12921115;
H;4983;01 03 53.36;+47 38 32.3;015.97234676;+47.64230158;
H;4984;01 03 53.39;-01 03 00.3;015.97244080;-01.05007534;
H;4985;01 03 55.59;-40 38 53.9;015.98163206;-40.64830312;
H;4986;01 03 55.87;-36 15 47.2;015.98277760;-36.26310694;
H;4987;01 03 56.47;+49 43 48.0;015.98528183;+49.73000346;
H;4988;01 03 56.53;+35 09 29.0;015.98554909;+35.15806327;
H;4989;01 03 57.34;+48 51 41.2;015.98891830;+48.86145056;
H;4990;01 03 58.75;+35 28 10.1;015.99477699;+35.46946291;
H;4991;01 03 58.81;-73 27 44.8;015.99504809;-73.46245048;
H;4992;01 03 59.82;+52 52 00.1;015.99924639;+52.86668640;
H;4993;01 03 59.85;-34 40 36.3;015.99936494;-34.67673632;
H;4994;01 04 00.26;+36 49 59.8;016.00108925;+36.83327837;
H;4995;01 04 01.55;-18 33 55.5;016.00646333;-18.56542830;
H;4996;01 04 01.88;+17 28 18.0;016.00782942;+17.47166075;
H;4997;01 04 02.11;-40 31 49.9;016.00879858;-40.53051995;
H;4998;01 04 02.39;+52 30 08.3;016.00995036;+52.50230919;
H;4999;01 04 03.52;+37 27 03.8;016.01466611;+37.45106803;
H;5000;01 04 03.67;+61 48 37.9;016.01528851;+61.81053452;
H;5001;01 04 03.76;+50 04 16.1;016.01564833;+50.07114879;
H;5002;01 04 04.51;+38 41 18.7;016.01880512;+38.68854162;
H;5003;01 04 05.40;-29 23 53.0;016.02251373;-29.39805288;
H;5004;01 04 05.67;-34 40 26.6;016.02363166;-34.67406283;
H;5005;01 04 06.18;+31 30 08.4;016.02575314;+31.50233764;
H;5006;01 04 06.95;-43 18 02.0;016.02897660;-43.30055699;
H;5007;01 04 07.16;+26 35 13.4;016.02983656;+26.58706157;
H;5008;01 04 07.18;+54 59 29.9;016.02990635;+54.99164463;
H;5009;01 04 07.63;+15 13 38.9;016.03180591;+15.22745872;
H;5010;01 04 08.92;-34 27 01.7;016.03718361;-34.45047390;
H;5011;01 04 11.13;-14 35 18.9;016.04636585;-14.58857458;
H;5012;01 04 14.14;+55 50 48.6;016.05892772;+55.84683081;
H;5013;01 04 15.57;+57 07 00.3;016.06485717;+57.11674377;
H;5014;01 04 16.09;-55 03 16.5;016.06705173;-55.05457243;
H;5015;01 04 16.41;+62 24 39.8;016.06838043;+62.41105987;
H;5016;01 04 16.74;+54 12 15.8;016.06973676;+54.20439985;
H;5017;01 04 17.56;+00 36 55.4;016.07315506;+00.61537868;
H;5018;01 04 18.07;-57 41 09.6;016.07529584;-57.68599136;
H;5020;01 04 18.99;-24 16 26.3;016.07911503;-24.27397838;
H;5019;01 04 19.03;-37 23 31.3;016.07927981;-37.39202511;
H;5021;01 04 19.55;+61 34 48.9;016.08145357;+61.58024409;
H;5022;01 04 20.97;-37 18 12.9;016.08735625;-37.30358661;
H;5023;01 04 21.67;+04 13 37.3;016.09028551;+04.22702985;
H;5024;01 04 22.78;+51 13 20.3;016.09492690;+51.22230796;
H;5025;01 04 23.49;+52 27 46.7;016.09788511;+52.46297813;
H;5026;01 04 23.90;-47 56 25.3;016.09960224;-47.94036979;
H;5027;01 04 24.17;-25 36 15.2;016.10072304;-25.60422804;
H;5028;01 04 24.50;+49 12 17.6;016.10208352;+49.20488846;
H;5029;01 04 24.56;+57 58 52.1;016.10234384;+57.98112862;
H;5030;01 04 25.29;-22 28 59.6;016.10536835;-22.48323250;
H;5031;01 04 26.59;-02 21 58.5;016.11080178;-02.36626356;
H;5032;01 04 26.86;+44 29 01.4;016.11193538;+44.48373472;
H;5033;01 04 27.27;-13 55 21.2;016.11361929;-13.92256794;
H;5034;01 04 27.57;+29 39 32.8;016.11487415;+29.65909865;
H;5035;01 04 29.49;+49 37 29.9;016.12286794;+49.62496295;
H;5036;01 04 29.92;-29 47 48.6;016.12466551;-29.79683067;
H;5037;01 04 30.23;+19 22 38.5;016.12596004;+19.37735494;
H;5038;01 04 31.18;-70 32 25.3;016.12990522;-70.54035809;
H;5039;01 04 31.51;-58 26 27.9;016.13130053;-58.44108266;
H;5040;01 04 31.98;+21 31 19.9;016.13324666;+21.52219954;
H;5041;01 04 32.25;+26 07 12.5;016.13435587;+26.12014117;
H;5042;01 04 32.61;-33 31 58.0;016.13586737;-33.53278805;
H;5043;01 04 34.15;-64 42 04.3;016.14229534;-64.70119640;
H;5044;01 04 34.60;+57 07 36.4;016.14418280;+57.12678214;
H;5045;01 04 36.40;+39 59 28.2;016.15166564;+39.99116315;
H;5046;01 04 37.27;-30 29 18.2;016.15529202;-30.48839683;
H;5047;01 04 38.16;-07 40 27.9;016.15901423;-07.67442397;
H;5048;01 04 38.45;+09 35 10.0;016.16021082;+09.58612180;
H;5049;01 04 38.49;-12 19 53.1;016.16035785;-12.33140348;
H;5051;01 04 38.98;-22 30 14.8;016.16239630;-22.50410659;
H;5050;01 04 39.27;-36 13 56.3;016.16361688;-36.23230941;
H;5052;01 04 39.94;+38 53 52.7;016.16641061;+38.89796836;
H;5053;01 04 40.22;-57 09 08.2;016.16758767;-57.15226611;
H;5054;01 04 40.28;-39 29 13.0;016.16782838;-39.48693482;
H;5055;01 04 40.41;+33 10 59.0;016.16838819;+33.18305260;
H;5056;01 04 42.72;-20 59 16.2;016.17798229;-20.98783787;
H;5057;01 04 42.82;-35 20 42.2;016.17841320;-35.34505574;
H;5058;01 04 42.88;-55 27 15.1;016.17867954;-55.45419408;
H;5059;01 04 42.89;-36 35 34.1;016.17869184;-36.59280011;
H;5060;01 04 43.61;+02 18 49.7;016.18169264;+02.31381166;
H;5061;01 04 43.74;-18 19 18.3;016.18226197;-18.32173861;
H;5062;01 04 46.78;+51 00 35.3;016.19493732;+51.00979730;
H;5063;01 04 46.87;-43 03 50.7;016.19530980;-43.06409328;
H;5064;01 04 48.29;+01 35 16.0;016.20121613;+01.58777878;
H;5065;01 04 49.00;-17 28 25.7;016.20415250;-17.47380427;
H;5066;01 04 49.09;-78 17 51.9;016.20452571;-78.29775115;
H;5067;01 04 49.30;+55 46 42.0;016.20540610;+55.77833922;
H;5068;01 04 49.46;-20 43 56.9;016.20609635;-20.73246754;
H;5069;01 04 49.64;-23 51 29.8;016.20685118;-23.85828165;
H;5070;01 04 49.88;+74 22 19.7;016.20781995;+74.37212887;
H;5071;01 04 49.94;+18 53 41.8;016.20806662;+18.89493807;
H;5072;01 04 50.12;+28 30 52.0;016.20881549;+28.51444538;
H;5073;01 04 50.35;+07 02 46.3;016.20977265;+07.04618317;
H;5074;01 04 52.62;+05 39 22.7;016.21925150;+05.65630133;
H;5075;01 04 55.14;+16 14 32.1;016.22976036;+16.24225993;
H;5076;01 04 57.54;-17 49 27.5;016.23976983;-17.82430490;
H;5077;01 04 57.85;+79 05 15.6;016.24103661;+79.08765474;
H;5078;01 05 01.26;+43 16 24.8;016.25525611;+43.27356263;
H;5079;01 05 03.45;-25 27 39.4;016.26437652;-25.46095672;
H;5080;01 05 03.88;-13 45 34.2;016.26618365;-13.75949883;
H;5081;01 05 05.35;+14 56 45.6;016.27229777;+14.94600386;
H;5082;01 05 07.75;-71 44 02.6;016.28229565;-71.73406152;
H;5083;01 05 08.12;+50 55 33.4;016.28382543;+50.92593722;
H;5085;01 05 08.56;-37 33 49.0;016.28564595;-37.56362150;
H;5084;01 05 08.65;-83 35 25.3;016.28605474;-83.59037137;
H;5086;01 05 09.60;+11 18 57.3;016.29000406;+11.31591199;
H;5087;01 05 10.38;-14 54 20.5;016.29325872;-14.90568317;
H;5088;01 05 11.62;+40 01 08.1;016.29839824;+40.01891347;
H;5089;01 05 11.77;+07 52 28.6;016.29902788;+07.87461595;
H;5090;01 05 11.88;-12 25 06.9;016.29950754;-12.41857988;
H;5091;01 05 12.21;+19 11 52.1;016.30086396;+19.19781259;
H;5092;01 05 12.55;+10 16 28.8;016.30230739;+10.27467675;
H;5093;01 05 13.15;-19 51 17.9;016.30479382;-19.85496030;
H;5094;01 05 14.26;-57 47 41.5;016.30939902;-57.79484786;
H;5095;01 05 18.26;-05 11 29.0;016.32607936;-05.19140136;
H;5096;01 05 20.20;-38 49 01.8;016.33416737;-38.81717916;
H;5097;01 05 20.74;-50 37 48.3;016.33639620;-50.63008044;
H;5098;01 05 21.84;-52 50 14.5;016.34100142;-52.83735552;
H;5099;01 05 21.90;-40 16 11.9;016.34125379;-40.26995916;
H;5100;01 05 23.03;+60 25 18.9;016.34595814;+60.42191687;
H;5101;01 05 23.43;+14 06 29.2;016.34761612;+14.10809871;
H;5102;01 05 23.93;-03 22 59.2;016.34971258;-03.38311991;
H;5103;01 05 24.13;+08 19 55.5;016.35054386;+08.33207098;
H;5104;01 05 25.41;-12 54 12.5;016.35586357;-12.90348019;
H;5105;01 05 26.04;-28 19 12.8;016.35848719;-28.32023518;
H;5106;01 05 26.19;+63 43 18.1;016.35911959;+63.72169242;
H;5107;01 05 27.08;-70 55 59.9;016.36284599;-70.93330092;
H;5108;01 05 28.29;+81 57 41.4;016.36788457;+81.96149349;
H;5109;01 05 29.75;-43 28 40.0;016.37395293;-43.47776943;
H;5110;01 05 29.91;+15 23 25.9;016.37462337;+15.39053992;
H;5111;01 05 31.10;+06 04 15.2;016.37959130;+06.07088415;
H;5113;01 05 31.26;+72 11 52.8;016.38023299;+72.19800325;
H;5112;01 05 31.29;-77 35 04.7;016.38035541;-77.58463919;
H;5114;01 05 32.20;-66 44 35.0;016.38418086;-66.74306038;
H;5115;01 05 32.41;+21 07 14.8;016.38506172;+21.12079111;
H;5116;01 05 33.96;-42 51 57.2;016.39149010;-42.86588652;
H;5117;01 05 34.14;+12 28 07.3;016.39225685;+12.46869953;
H;5118;01 05 34.59;-26 57 18.0;016.39412284;-26.95501174;
H;5119;01 05 35.66;+24 11 51.8;016.39858925;+24.19772291;
H;5120;01 05 36.26;+54 07 52.4;016.40110372;+54.13120899;
H;5121;01 05 36.90;-09 58 45.3;016.40375279;-09.97923948;
H;5122;01 05 37.68;+87 19 07.7;016.40698549;+87.31879485;
H;5123;01 05 38.26;+01 12 03.7;016.40943445;+01.20103114;
H;5124;01 05 38.51;+13 08 15.7;016.41047654;+13.13769905;
H;5125;01 05 38.74;-66 03 32.4;016.41141134;-66.05898845;
H;5126;01 05 38.97;-61 21 26.7;016.41237895;-61.35741066;
H;5127;01 05 39.28;-60 43 41.5;016.41364909;-60.72819898;
H;5128;01 05 39.87;-16 36 06.1;016.41611693;-16.60169638;
H;5129;01 05 39.96;-62 08 12.7;016.41648957;-62.13686892;
H;5130;01 05 40.17;-41 22 09.8;016.41738988;-41.36939522;
H;5131;01 05 40.93;+21 28 23.6;016.42053152;+21.47321620;
H;5132;01 05 41.68;+21 27 55.7;016.42365838;+21.46547318;
H;5133;01 05 41.90;+04 11 55.1;016.42458011;+04.19864419;
H;5134;01 05 42.93;+02 28 37.6;016.42889090;+02.47711531;
H;5135;01 05 46.56;-41 31 46.2;016.44399830;-41.52951304;
H;5136;01 05 47.13;-14 53 04.7;016.44639233;-14.88463891;
H;5137;01 05 47.90;-23 35 34.9;016.44957957;-23.59302823;
H;5138;01 05 48.23;+61 45 17.8;016.45093957;+61.75493929;
H;5139;01 05 49.13;+60 46 20.0;016.45472592;+60.77222108;
H;5141;01 05 49.22;+04 54 31.2;016.45509251;+04.90866194;
H;5140;01 05 49.24;-26 18 24.9;016.45518435;-26.30692913;
H;5142;01 05 49.96;+39 22 27.2;016.45816667;+39.37422238;
H;5143;01 05 51.16;-21 33 59.3;016.46315088;-21.56647665;
H;5145;01 05 51.41;+20 57 52.1;016.46422689;+20.96447515;
H;5144;01 05 51.42;+04 54 35.0;016.46423982;+04.90971755;
H;5146;01 05 52.51;-25 28 52.0;016.46877669;-25.48110880;
H;5147;01 05 52.97;+65 58 15.9;016.47072853;+65.97107632;
H;5148;01 05 54.19;+32 59 37.1;016.47580777;+32.99364454;
H;5149;01 05 54.82;-13 02 19.2;016.47841903;-13.03866947;
H;5150;01 05 55.73;-26 43 43.8;016.48218878;-26.72883731;
H;5151;01 05 55.97;+65 53 38.9;016.48321042;+65.89413068;
H;5152;01 05 57.05;-27 35 43.3;016.48771707;-27.59534882;
H;5153;01 05 57.59;-48 56 28.1;016.48993963;-48.94112725;
H;5154;01 05 57.92;-08 39 34.1;016.49131364;-08.65948394;
H;5155;01 06 00.64;-27 32 11.3;016.50265049;-27.53646456;
H;5156;01 06 00.94;-31 51 16.8;016.50390444;-31.85467486;
H;5157;01 06 01.72;-39 24 50.4;016.50714923;-39.41399143;
H;5158;01 06 01.92;-22 27 10.4;016.50800326;-22.45289221;
H;5159;01 06 02.52;-19 35 16.0;016.51048951;-19.58776944;
H;5160;01 06 03.16;-41 50 10.7;016.51318333;-41.83631485;
H;5161;01 06 03.95;+57 45 23.3;016.51646851;+57.75648184;
H;5162;01 06 04.43;-79 14 09.9;016.51843812;-79.23608522;
H;5163;01 06 05.06;+01 42 24.4;016.52108288;+01.70677008;
H;5165;01 06 05.11;-46 43 06.6;016.52127713;-46.71849042;
H;5164;01 06 05.13;-09 50 21.7;016.52137513;-09.83936845;
H;5166;01 06 05.75;+03 16 29.0;016.52397905;+03.27473062;
H;5167;01 06 05.91;-58 28 31.2;016.52461295;-58.47532704;
H;5168;01 06 06.20;-41 30 03.6;016.52583481;-41.50099219;
H;5169;01 06 06.34;-10 59 07.4;016.52642005;-10.98537698;
H;5170;01 06 07.73;-23 59 32.5;016.53220740;-23.99236906;
H;5171;01 06 07.98;-42 34 27.5;016.53324309;-42.57431763;
H;5172;01 06 08.39;+35 30 57.8;016.53495201;+35.51606264;
H;5173;01 06 09.61;-38 13 59.0;016.54003829;-38.23306421;
H;5174;01 06 10.72;-18 50 19.0;016.54467569;-18.83860273;
H;5175;01 06 11.20;+32 10 53.6;016.54664936;+32.18154253;
H;5176;01 06 12.53;+13 15 10.0;016.55221696;+13.25278682;
H;5177;01 06 12.63;+26 44 38.2;016.55261372;+26.74394804;
H;5178;01 06 12.96;-56 48 01.2;016.55398637;-56.80034711;
H;5179;01 06 13.88;-67 58 48.1;016.55783863;-67.98001430;
H;5180;01 06 15.24;-20 03 36.7;016.56349696;-20.06020269;
H;5181;01 06 15.40;-00 15 55.2;016.56418220;-00.26534486;
H;5182;01 06 15.55;+22 33 06.2;016.56477740;+22.55172026;
H;5183;01 06 17.48;-34 47 51.7;016.57282438;-34.79770825;
H;5184;01 06 21.45;-36 45 23.0;016.58937784;-36.75640236;
H;5185;01 06 22.49;+16 18 50.9;016.59370581;+16.31413064;
H;5186;01 06 22.69;+62 45 41.3;016.59452876;+62.76146736;
H;5187;01 06 23.32;-44 15 25.6;016.59717626;-44.25711928;
H;5188;01 06 23.38;-47 35 42.6;016.59742756;-47.59516235;
H;5189;01 06 25.68;-00 44 57.7;016.60700174;-00.74936120;
H;5191;01 06 26.09;-14 17 46.3;016.60872175;-14.29618780;
H;5190;01 06 26.10;+66 26 49.2;016.60873708;+66.44701017;
H;5192;01 06 26.39;-61 09 13.2;016.60995842;-61.15367860;
H;5193;01 06 26.53;-35 39 38.2;016.61054202;-35.66062274;
H;5194;01 06 26.58;-29 01 43.7;016.61074736;-29.02880464;
H;5195;01 06 26.62;+80 05 23.7;016.61091193;+80.08991439;
H;5196;01 06 26.97;-36 56 07.6;016.61238154;-36.93544530;
H;5197;01 06 26.99;-09 46 00.2;016.61245345;-09.76671448;
H;5198;01 06 27.68;-39 51 22.8;016.61533292;-39.85632513;
H;5199;01 06 30.06;+19 24 23.7;016.62523873;+19.40657638;
H;5201;01 06 30.59;-22 03 50.9;016.62744103;-22.06413823;
H;5202;01 06 32.84;-56 06 07.5;016.63681703;-56.10208953;
H;5204;01 06 33.62;+12 57 21.5;016.64007727;+12.95597351;
H;5203;01 06 33.62;+62 40 15.1;016.64008019;+62.67084926;
H;5205;01 06 35.56;-45 55 06.2;016.64815878;-45.91838030;
H;5206;01 06 36.43;-31 16 43.6;016.65180242;-31.27878945;
H;5207;01 06 36.49;+13 53 04.9;016.65204665;+13.88470299;
H;5208;01 06 37.61;+68 32 55.0;016.65669083;+68.54860731;
H;5209;01 06 37.66;+08 21 36.5;016.65690295;+08.36013248;
H;5210;01 06 38.15;+64 23 35.2;016.65897584;+64.39312344;
H;5211;01 06 38.46;+43 00 41.0;016.66023765;+43.01139582;
H;5212;01 06 38.51;+29 41 46.0;016.66045120;+29.69612205;
H;5213;01 06 38.64;+23 13 58.3;016.66100561;+23.23285317;
H;5214;01 06 39.88;+54 22 09.2;016.66617490;+54.36923508;
H;5215;01 06 41.58;+15 16 24.3;016.67323507;+15.27341418;
H;5216;01 06 41.99;+08 52 07.1;016.67495966;+08.86864832;
H;5217;01 06 42.79;-08 41 49.7;016.67829110;-08.69714425;
H;5218;01 06 43.72;+06 40 00.4;016.68216137;+06.66678534;
H;5219;01 06 44.36;-15 30 36.9;016.68482196;-15.51024951;
H;5220;01 06 45.51;-04 39 01.5;016.68961983;-04.65041249;
H;5221;01 06 45.84;+58 45 37.7;016.69101496;+58.76048117;
H;5222;01 06 46.40;-48 04 40.7;016.69332576;-48.07797413;
H;5223;01 06 46.92;+35 34 20.1;016.69550692;+35.57226164;
H;5224;01 06 46.98;-50 59 22.1;016.69573127;-50.98947181;
H;5225;01 06 47.60;-00 56 15.5;016.69833542;-00.93763087;
H;5226;01 06 47.65;+35 08 44.4;016.69855291;+35.14566078;
H;5227;01 06 49.05;-22 51 20.5;016.70437929;-22.85569871;
H;5228;01 06 50.82;-81 38 55.6;016.71174805;-81.64877169;
H;5229;01 06 52.52;+74 37 54.6;016.71883645;+74.63181976;
H;5230;01 06 52.91;+03 48 40.6;016.72045590;+03.81127295;
H;5231;01 06 53.90;+08 39 08.6;016.72457232;+08.65238012;
H;5232;01 06 54.01;+59 51 31.1;016.72503165;+59.85864267;
H;5233;01 06 54.99;+70 55 53.1;016.72912007;+70.93142932;
H;5234;01 06 55.57;-32 45 16.4;016.73154646;-32.75454723;
H;5235;01 06 56.77;-53 21 10.3;016.73655912;-53.35284883;
H;5236;01 06 58.41;+50 35 09.9;016.74339175;+50.58608701;
H;5237;01 06 58.61;-04 54 22.0;016.74420980;-04.90610971;
H;5238;01 06 59.02;-63 21 17.6;016.74590454;-63.35489593;
H;5239;01 06 59.74;+63 46 23.4;016.74893006;+63.77316534;
H;5240;01 07 00.07;+56 56 06.9;016.75030618;+56.93523628;
H;5241;01 07 01.05;-29 36 54.5;016.75436248;-29.61514365;
H;5242;01 07 02.86;-71 48 27.0;016.76191671;-71.80750527;
H;5243;01 07 03.04;+47 43 49.2;016.76267264;+47.73033937;
H;5244;01 07 03.94;+11 33 07.5;016.76642659;+11.55208242;
H;5245;01 07 04.52;-00 35 31.3;016.76882116;-00.59202228;
H;5246;01 07 05.83;+24 50 29.3;016.77428621;+24.84146901;
H;5247;01 07 06.14;+63 56 26.0;016.77560068;+63.94055066;
H;5248;01 07 07.19;+20 09 03.9;016.77994394;+20.15107026;
H;5249;01 07 09.16;+38 39 01.7;016.78815745;+38.65048417;
H;5250;01 07 09.27;+28 32 08.7;016.78864560;+28.53575800;
H;5251;01 07 09.44;+53 29 53.5;016.78933996;+53.49819318;
H;5252;01 07 10.69;+56 22 28.1;016.79453124;+56.37446137;
H;5255;01 07 10.88;+57 52 19.6;016.79533307;+57.87210426;
H;5254;01 07 10.92;-68 33 34.3;016.79549240;-68.55953955;
H;5253;01 07 10.95;-01 43 55.5;016.79562046;-01.73208324;
H;5256;01 07 11.21;-24 51 18.4;016.79672237;-24.85509871;
H;5257;01 07 12.84;+01 21 18.7;016.80348386;+01.35518930;
H;5259;01 07 12.88;-23 59 46.5;016.80364889;-23.99625645;
H;5258;01 07 12.88;+12 04 49.1;016.80365571;+12.08031633;
H;5260;01 07 13.60;-32 25 45.5;016.80665675;-32.42929737;
H;5261;01 07 13.86;-68 33 55.9;016.80776414;-68.56553671;
H;5262;01 07 13.87;+49 33 19.7;016.80778883;+49.55546798;
H;5263;01 07 14.02;+05 00 20.1;016.80843437;+05.00557504;
H;5264;01 07 14.41;-56 06 12.3;016.81003820;-56.10341500;
H;5265;01 07 14.97;+44 37 00.1;016.81237346;+44.61668782;
H;5266;01 07 16.29;-63 23 40.7;016.81787190;-63.39462832;
H;5267;01 07 18.22;-72 28 03.6;016.82590189;-72.46767938;
H;5268;01 07 18.57;-61 46 30.9;016.82738598;-61.77526197;
H;5269;01 07 21.13;+43 31 24.9;016.83803079;+43.52358173;
H;5270;01 07 22.59;+38 01 44.1;016.84413843;+38.02890985;
H;5271;01 07 23.46;+48 03 14.4;016.84775590;+48.05399024;
H;5272;01 07 23.91;-10 34 16.8;016.84964268;-10.57134130;
H;5273;01 07 24.33;+69 52 45.9;016.85136635;+69.87942742;
H;5274;01 07 25.11;-76 40 25.5;016.85460592;-76.67374483;
H;5275;01 07 25.32;+33 59 45.8;016.85548953;+33.99605036;
H;5276;01 07 28.65;+41 15 32.4;016.86936763;+41.25901151;
H;5277;01 07 29.38;+24 58 25.9;016.87243588;+24.97384954;
H;5278;01 07 29.96;+78 20 07.4;016.87483012;+78.33537912;
H;5279;01 07 30.98;+27 17 07.7;016.87909902;+27.28547800;
H;5280;01 07 31.90;-41 44 47.6;016.88291179;-41.74654669;
H;5281;01 07 32.48;-04 12 24.9;016.88531789;-04.20691856;
H;5282;01 07 33.87;-16 11 40.9;016.89110858;-16.19469047;
H;5283;01 07 34.25;+41 18 22.8;016.89269023;+41.30632525;
H;5284;01 07 34.38;-29 17 12.3;016.89323852;-29.28675143;
H;5285;01 07 36.41;+20 33 43.4;016.90170996;+20.56206728;
H;5286;01 07 37.81;+22 57 22.2;016.90753784;+22.95617138;
H;5287;01 07 37.96;-27 43 18.2;016.90815106;-27.72172227;
H;5288;01 07 38.03;-31 47 26.7;016.90846141;-31.79074759;
H;5289;01 07 40.05;-14 10 10.4;016.91686269;-14.16955100;
H;5290;01 07 41.52;-02 44 36.4;016.92298024;-02.74345797;
H;5291;01 07 42.98;-19 18 43.3;016.92910095;-19.31203777;
H;5292;01 07 43.45;-43 47 28.7;016.93102398;-43.79131292;
H;5293;01 07 44.21;+18 10 42.7;016.93420380;+18.17853923;
H;5294;01 07 44.57;-04 44 42.8;016.93569086;-04.74522400;
H;5295;01 07 44.77;-15 56 58.4;016.93653509;-15.94954279;
H;5296;01 07 46.12;-09 47 08.1;016.94216802;-09.78559168;
H;5297;01 07 46.41;+04 24 52.0;016.94338709;+04.41445120;
H;5298;01 07 46.76;+41 30 47.9;016.94484149;+41.51329231;
H;5299;01 07 47.37;-59 03 28.5;016.94739118;-59.05791885;
