Catalog;HIP;RAhms;DEdms;RAdeg;DEdeg;
H;41122;08 23 27.99;-45 36 43.2;125.86662419;-45.61200281;
H;41123;08 23 28.31;+45 02 17.1;125.86796428;+45.03808545;
H;41124;08 23 28.39;+30 10 34.1;125.86828871;+30.17612591;
H;41125;08 23 28.59;-36 23 15.4;125.86912945;-36.38759723;
H;41126;08 23 28.95;-43 27 50.7;125.87060690;-43.46409371;
H;41127;08 23 29.73;+45 01 38.0;125.87385653;+45.02722717;
H;41128;08 23 29.84;+85 41 32.0;125.87431851;+85.69222271;
H;41129;08 23 30.16;+06 48 47.7;125.87567742;+06.81323719;
H;41131;08 23 30.72;-30 48 04.8;125.87798563;-30.80133476;
H;41130;08 23 30.72;+21 50 59.8;125.87801748;+21.84995388;
H;41132;08 23 31.16;+65 44 28.0;125.87984863;+65.74110108;
H;41133;08 23 31.36;+23 32 04.3;125.88064594;+23.53453924;
H;41134;08 23 31.90;-27 49 20.2;125.88289900;-27.82226926;
H;41135;08 23 32.03;+50 40 57.6;125.88346313;+50.68267129;
H;41136;08 23 33.24;+25 09 04.9;125.88851058;+25.15136039;
H;41137;08 23 36.86;+47 52 32.7;125.90358013;+47.87575945;
H;41138;08 23 37.04;+52 59 28.4;125.90434077;+52.99121206;
H;41139;08 23 37.59;-24 16 15.5;125.90660643;-24.27097693;
H;41140;08 23 38.16;-74 09 58.2;125.90900796;-74.16617539;
H;41141;08 23 38.33;+40 40 30.1;125.90972778;+40.67502638;
H;41142;08 23 38.41;+02 10 47.3;125.91004126;+02.17980364;
H;41143;08 23 38.66;+46 47 39.2;125.91108566;+46.79422309;
H;41144;08 23 40.54;-63 43 56.4;125.91892216;-63.73232599;
H;41145;08 23 41.97;-30 23 31.6;125.92489020;-30.39209817;
H;41146;08 23 42.17;-65 48 41.4;125.92571317;-65.81148921;
H;41147;08 23 42.42;-55 19 13.5;125.92673102;-55.32040424;
H;41148;08 23 45.69;+00 03 34.2;125.94037761;+00.05949315;
H;41149;08 23 45.86;+36 18 51.1;125.94108432;+36.31420216;
H;41150;08 23 47.47;+08 25 45.2;125.94777139;+08.42921772;
H;41151;08 23 47.75;-42 02 01.9;125.94894267;-42.03385755;
H;41152;08 23 48.53;+53 13 11.8;125.95220483;+53.21995142;
H;41153;08 23 49.01;+57 25 01.6;125.95422739;+57.41710142;
H;41154;08 23 49.38;-28 58 13.1;125.95575056;-28.97030725;
H;41155;08 23 49.59;-08 28 06.7;125.95661856;-08.46852723;
H;41156;08 23 49.79;-78 43 03.3;125.95746046;-78.71758652;
H;41157;08 23 50.22;-27 19 40.4;125.95926404;-27.32788779;
H;41158;08 23 51.53;+65 30 01.1;125.96471251;+65.50030297;
H;41159;08 23 52.05;+32 17 36.6;125.96685890;+32.29351381;
H;41160;08 23 52.08;-52 32 56.0;125.96701558;-52.54888896;
H;41161;08 23 54.12;-13 37 32.9;125.97548366;-13.62580323;
H;41162;08 23 54.50;-42 33 17.9;125.97706826;-42.55497733;
H;41163;08 23 55.21;+10 37 55.6;125.98003581;+10.63211638;
H;41164;08 23 55.29;-41 39 22.8;125.98038441;-41.65633260;
H;41165;08 23 55.60;+38 27 45.0;125.98165312;+38.46249581;
H;41166;08 23 56.20;-01 29 52.7;125.98415044;-01.49796486;
H;41167;08 23 58.17;-07 15 51.3;125.99236347;-07.26426115;
H;41168;08 23 58.91;-32 53 48.8;125.99544336;-32.89689914;
H;41170;08 24 00.11;+68 55 28.2;126.00047438;+68.92450716;
H;41169;08 24 00.13;-02 57 24.3;126.00054066;-02.95675673;
H;41171;08 24 00.71;-15 47 49.6;126.00293958;-15.79711229;
H;41173;08 24 05.87;-34 58 04.2;126.02446884;-34.96783292;
H;41172;08 24 05.89;+31 18 03.7;126.02454070;+31.30103989;
H;41174;08 24 08.44;-19 08 08.5;126.03517064;-19.13568331;
H;41176;08 24 08.61;+44 44 32.0;126.03586509;+44.74221541;
H;41175;08 24 08.63;+50 10 22.8;126.03597847;+50.17299126;
H;41177;08 24 09.06;-35 30 32.4;126.03776559;-35.50900250;
H;41178;08 24 10.45;-11 26 20.8;126.04353577;-11.43909904;
H;41179;08 24 11.72;-05 40 45.3;126.04885104;-05.67926151;
H;41180;08 24 12.16;+62 18 01.1;126.05066997;+62.30031789;
H;41181;08 24 13.27;+44 56 46.9;126.05531197;+44.94635313;
H;41182;08 24 13.85;-60 38 58.1;126.05771485;-60.64948357;
H;41183;08 24 14.25;+09 13 59.3;126.05938621;+09.23314507;
H;41184;08 24 15.71;+44 57 00.5;126.06545092;+44.95014247;
H;41185;08 24 15.92;+45 58 53.1;126.06631288;+45.98140392;
H;41186;08 24 17.12;-53 31 22.8;126.07134337;-53.52301043;
H;41187;08 24 17.40;+28 45 03.7;126.07250953;+28.75101858;
H;41188;08 24 18.07;-22 22 42.5;126.07528064;-22.37848178;
H;41189;08 24 19.63;+13 30 22.1;126.08181071;+13.50612713;
H;41190;08 24 19.70;-02 25 22.5;126.08206274;-02.42292617;
H;41191;08 24 20.38;-80 54 53.0;126.08492509;-80.91471955;
H;41192;08 24 20.89;-03 08 36.9;126.08705355;-03.14357688;
H;41193;08 24 21.56;-45 53 41.9;126.08982748;-45.89496544;
H;41194;08 24 21.87;+26 27 56.7;126.09113973;+26.46575888;
H;41195;08 24 22.26;+83 05 49.7;126.09275293;+83.09714750;
H;41196;08 24 22.50;-55 47 22.9;126.09376564;-55.78968366;
H;41197;08 24 23.83;+14 06 57.6;126.09931134;+14.11599971;
H;41198;08 24 24.34;-41 31 25.8;126.10140287;-41.52383143;
H;41199;08 24 26.39;+64 53 27.4;126.10994762;+64.89093838;
H;41200;08 24 27.78;+07 38 16.6;126.11573754;+07.63793148;
H;41201;08 24 27.87;-08 31 12.9;126.11613498;-08.52023712;
H;41202;08 24 29.30;+34 09 13.2;126.12209884;+34.15366046;
H;41203;08 24 29.71;-10 30 27.8;126.12379027;-10.50770857;
H;41204;08 24 30.67;+08 20 48.4;126.12779040;+08.34677618;
H;41205;08 24 31.20;-10 01 43.2;126.12998972;-10.02867325;
H;41206;08 24 31.55;-26 07 21.3;126.13145333;-26.12256953;
H;41207;08 24 31.72;-53 44 10.5;126.13215748;-53.73623797;
H;41208;08 24 33.11;+82 25 51.0;126.13794451;+82.43082230;
H;41209;08 24 33.21;-01 08 52.6;126.13837425;-01.14795006;
H;41210;08 24 33.61;+74 26 17.0;126.14004327;+74.43805969;
H;41211;08 24 35.14;-03 45 04.2;126.14640836;-03.75117744;
H;41212;08 24 35.29;-40 44 49.3;126.14702662;-40.74703442;
